Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.924756385354,3.28961559872,0.0,2.83821544795,0.0,0.0787274313513,0.0787274313513,0.0787274313513,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.780654160606,3.71546820601,0.0,3.34927462979,0.0,0.0929033730275,0.0929033730275,0.0929033730275,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.728752631477,4.06433504884,0.0,3.7211487246,0.0,0.103218549168,0.103218549168,0.103218549168,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.720173931396,4.3400834715,0.0,3.98928541315,0.0,0.110656220172,0.110656220172,0.110656220172,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.724168923386,4.62003598812,0.0,4.20189112915,0.0,0.116553553274,0.116553553274,0.116553553274,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.791468327571,5.08984398313,0.0,4.37647874774,0.0,0.121396326844,0.121396326844,0.121396326844,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.08216800904,6.30647526174,0.0,5.04368358662,0.0,0.13990349239,0.13990349239,0.13990349239,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.47439943016,5.52963639943,0.0,4.11094020632,0.0,0.114030724171,0.114030724171,0.114030724171,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.39422793142,4.63968926481,0.0,3.26349834149,0.0,0.0905240797805,0.0905240797805,0.0905240797805,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.1701356911,3.86730565002,0.0,2.62538868096,0.0,0.0728239666581,0.0728239666581,0.0728239666581,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.14807185248,3.20258240861,0.0,2.11908334617,0.0,0.0587798888853,0.0587798888853,0.0587798888853,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.141305813,2.06211232887,0.0,1.12128377936,0.0,0.0311025689851,0.0311025689851,0.0311025689851,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.10177074682,1.33462695152,0.0,0.499104659099,0.0,0.013844342865,0.013844342865,0.013844342865,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.775233637108,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.71934244877,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.730646650146,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.819192022266,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.04989625815,1.15997399822,0.0,0.17412908292,0.0,0.00483005454423,0.00483005454423,0.00483005454423,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.46465819452,1.18097622652,0.0,0.0397289875962,0.0,0.00110201681338,0.00110201681338,0.00110201681338,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.43592707849,1.37795221148,0.0,0.199736220174,0.0,0.00554035444119,0.00554035444119,0.00554035444119,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.25270364133,1.7084345837,0.0,0.603660432261,0.0,0.0167445481542,0.0167445481542,0.0167445481542,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.05753227425,2.17708567494,0.0,1.17803744756,0.0,0.032676822455,0.032676822455,0.032676822455,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.67665955538,2.49203218631,0.0,1.65975134656,0.0,0.0460387742201,0.0460387742201,0.0460387742201,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.29932551877,2.96223261249,0.0,2.31312543555,0.0,0.0641622974976,0.0641622974976,0.0641622974976,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,0.916173597302,3.24225344206,0.0,2.8052830295,0.0,0.0778139401943,0.0778139401943,0.0778139401943,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.774619414855,3.65595651163,0.0,3.29772563617,0.0,0.0914734886754,0.0914734886754,0.0914734886754,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.726978275315,4.10515993252,0.0,3.76700900001,0.0,0.104490637827,0.104490637827,0.104490637827,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/02  04:00:00,0.714982832695,4.20469458792,0.0,3.8595687443,0.0,0.107058092994,0.107058092994,0.107058092994,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/02  05:00:00,0.714207053015,4.35960116764,0.0,3.95510209444,0.0,0.109708031098,0.109708031098,0.109708031098,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/02  06:00:00,0.77425838366,4.60201690408,0.0,3.92834587678,0.0,0.108965857599,0.108965857599,0.108965857599,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/02  07:00:00,1.03569504325,4.99079278885,0.0,3.8151848764,0.0,0.105826957452,0.105826957452,0.105826957452,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/02  08:00:00,1.45694442605,5.68626335327,0.0,4.37170732732,0.0,0.121263975484,0.121263975484,0.121263975484,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/02  09:00:00,1.3653477779,4.85760941802,0.0,3.58663803554,0.0,0.0994874437486,0.0994874437486,0.0994874437486,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/02  10:00:00,1.13818057929,4.51943511971,0.0,3.36736209088,0.0,0.0934050894678,0.0934050894678,0.0934050894678,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/02  11:00:00,1.12344268133,4.38998976944,0.0,3.37269389639,0.0,0.0935529849887,0.0935529849887,0.0935529849887,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/02  12:00:00,1.12529617695,3.64851811072,0.0,2.75177872811,0.0,0.0763298188188,0.0763298188188,0.0763298188188,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/02  13:00:00,1.09993534424,3.24625002392,0.0,2.44383131864,0.0,0.0677878638534,0.0677878638534,0.0677878638534,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/02  14:00:00,1.07242701986,3.14017487534,0.0,2.39331601281,0.0,0.0663866523016,0.0663866523016,0.0663866523016,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/02  15:00:00,1.07417085155,3.02824603848,0.0,2.33171740272,0.0,0.0646780081075,0.0646780081075,0.0646780081075,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/02  16:00:00,1.16386248186,3.13371360588,0.0,2.42782711537,0.0,0.0673439335607,0.0673439335607,0.0673439335607,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/02  17:00:00,1.47686404158,3.08075171047,0.0,2.3010526293,0.0,0.0638274176965,0.0638274176965,0.0638274176965,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/02  18:00:00,2.07093356787,3.34794921128,0.0,2.41943978133,0.0,0.0671112827007,0.0671112827007,0.0671112827007,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/02  19:00:00,2.47760133901,3.01402947184,0.0,1.94942562693,0.0,0.05407386262,0.05407386262,0.05407386262,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/02  20:00:00,2.44245133016,2.96285525814,0.0,1.87526681921,0.0,0.0520168191887,0.0520168191887,0.0520168191887,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/02  21:00:00,2.25068445883,3.01204243535,0.0,1.99687262004,0.0,0.0553899642202,0.0553899642202,0.0553899642202,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/02  22:00:00,2.04299697008,3.07403405361,0.0,2.15163621142,0.0,0.0596828518602,0.0596828518602,0.0596828518602,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/02  23:00:00,1.67411883958,3.5289571724,0.0,2.75815930658,0.0,0.0765068055779,0.0765068055779,0.0765068055779,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/02  24:00:00,1.31501158502,4.14018491974,0.0,3.53201714136,0.0,0.0979723499245,0.0979723499245,0.0979723499245,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/03  01:00:00,0.944761899686,4.26992921788,0.0,3.83592457417,0.0,0.106402242578,0.106402242578,0.106402242578,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/03  02:00:00,0.7955039633,4.40488788252,0.0,4.05063789307,0.0,0.11235803712,0.11235803712,0.11235803712,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/03  03:00:00,0.725871795604,4.05936855282,0.0,3.72711911975,0.0,0.103384158116,0.103384158116,0.103384158116,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/03  04:00:00,0.705311079636,3.84880014288,0.0,3.51089079977,0.0,0.0973863399342,0.0973863399342,0.0973863399342,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/03  05:00:00,0.719471116699,4.54533140793,0.0,4.14487771157,0.0,0.114972094783,0.114972094783,0.114972094783,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/03  06:00:00,0.77603892158,4.66562073383,0.0,3.99253633929,0.0,0.11074639552,0.11074639552,0.11074639552,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/03  07:00:00,1.05732851668,5.77315522234,0.0,4.59509675003,0.0,0.127460430885,0.127460430885,0.127460430885,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
