Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.550329728184,6.06084784653,0.0,5.76405804079,0.0,0.112923609736,0.112923609736,0.112923609736,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.496697541849,6.18844681962,0.0,5.9643105392,0.0,0.116846754649,0.116846754649,0.116846754649,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.4868621812,6.5559759901,0.0,6.35601965662,0.0,0.124520724479,0.124520724479,0.124520724479,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.485078513843,6.74164755109,0.0,6.53547632043,0.0,0.128036458382,0.128036458382,0.128036458382,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.478314527428,6.97788287937,0.0,6.70729536737,0.0,0.1314025638,0.1314025638,0.1314025638,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.514369795471,7.36309294873,0.0,6.82441045232,0.0,0.133696964386,0.133696964386,0.133696964386,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.62808330781,8.92171620254,0.0,7.86829004117,0.0,0.154147600113,0.154147600113,0.154147600113,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.751022050008,9.28477415488,0.0,8.08090696203,0.0,0.158312976316,0.158312976316,0.158312976316,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.658717197614,8.10504156301,0.0,6.96059255227,0.0,0.136364906693,0.136364906693,0.136364906693,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.535369419269,7.30809859756,0.0,6.28528464033,0.0,0.123134955405,0.123134955405,0.123134955405,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.511598237959,6.45558347137,0.0,5.56988467785,0.0,0.109119561113,0.109119561113,0.109119561113,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.502502745649,5.94098261394,0.0,5.14667680828,0.0,0.100828499509,0.100828499509,0.100828499509,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.49635455025,5.73215178977,0.0,5.00426837507,0.0,0.0980385771627,0.0980385771627,0.0980385771627,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.497710242249,5.34975535044,0.0,4.69423450756,0.0,0.0919647064259,0.0919647064259,0.0919647064259,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.511503286623,5.20600385648,0.0,4.59639319023,0.0,0.0900478980496,0.0900478980496,0.0900478980496,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.552235574703,5.59271276767,0.0,4.94502750577,0.0,0.09687798982,0.09687798982,0.09687798982,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.67627884885,6.05618377753,0.0,5.26475461339,0.0,0.103141760738,0.103141760738,0.103141760738,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.921813075,8.38446864688,0.0,7.33286961449,0.0,0.143658183303,0.143658183303,0.143658183303,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.07721827226,6.97072091879,0.0,5.86586117064,0.0,0.114918033947,0.114918033947,0.114918033947,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.06823461456,6.4979824698,0.0,5.49104291327,0.0,0.107574972805,0.107574972805,0.107574972805,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.02266780045,6.29131980517,0.0,5.4002612619,0.0,0.105796470282,0.105796470282,0.105796470282,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.954110241863,6.28537836579,0.0,5.50408371232,0.0,0.107830454983,0.107830454983,0.107830454983,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.81290915688,6.24522949594,0.0,5.61391357823,0.0,0.109982130908,0.109982130908,0.109982130908,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.688517659452,6.26805190234,0.0,5.79714590368,0.0,0.113571833764,0.113571833764,0.113571833764,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.55220442367,6.16208559332,0.0,5.87651453883,0.0,0.115126743988,0.115126743988,0.115126743988,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.497215692808,6.21961504772,0.0,6.00096918876,0.0,0.117564933926,0.117564933926,0.117564933926,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.4824891991,6.33452775449,0.0,6.13890299834,0.0,0.120267193961,0.120267193961,0.120267193961,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.479743351305,6.46967161737,0.0,6.26824992902,0.0,0.122801228528,0.122801228528,0.122801228528,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.470802145567,6.59280653786,0.0,6.33204604383,0.0,0.124051057645,0.124051057645,0.124051057645,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.505141279379,6.87729699002,0.0,6.36867076576,0.0,0.124768572246,0.124768572246,0.124768572246,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.594860357029,7.18695798184,0.0,6.20310690134,0.0,0.121525012053,0.121525012053,0.121525012053,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.709150266869,7.12506339836,0.0,6.00202236815,0.0,0.117585566754,0.117585566754,0.117585566754,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.626772705254,6.4890333141,0.0,5.4246525581,0.0,0.106274319948,0.106274319948,0.106274319948,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.501130345102,5.59967779059,0.0,4.64710499954,0.0,0.0910413926541,0.0910413926541,0.0910413926541,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.478197334073,4.7951009344,0.0,3.96793392562,0.0,0.0777357581943,0.0777357581943,0.0777357581943,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.466375737446,4.1394159134,0.0,3.39279904042,0.0,0.066468295781,0.066468295781,0.066468295781,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.455890751425,3.70573752779,0.0,3.0187996333,0.0,0.0591412767274,0.0591412767274,0.0591412767274,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.458870406122,3.40898377354,0.0,2.78844657019,0.0,0.0546284319197,0.0546284319197,0.0546284319197,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.474871077416,3.36958502262,0.0,2.79207035637,0.0,0.0546994254827,0.0546994254827,0.0546994254827,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.512465984024,3.59157751657,0.0,2.97644763182,0.0,0.0583115590438,0.0583115590438,0.0583115590438,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.634765198358,3.95940051685,0.0,3.20970874192,0.0,0.062881375374,0.062881375374,0.062881375374,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.869194125715,5.71584116256,0.0,4.71640861587,0.0,0.0923991191844,0.0923991191844,0.0923991191844,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.03000253502,4.58240579775,0.0,3.54720797589,0.0,0.0694933198605,0.0694933198605,0.0694933198605,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.02469930046,4.30249104897,0.0,3.3742539859,0.0,0.0661049797831,0.0661049797831,0.0661049797831,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.982139782512,4.24107423377,0.0,3.42497364221,0.0,0.0670986281181,0.0670986281181,0.0670986281181,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.913275662274,4.216849437,0.0,3.49759138854,0.0,0.0685212817398,0.0685212817398,0.0685212817398,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.773616535386,4.24215821657,0.0,3.66068910259,0.0,0.0717165276029,0.0717165276029,0.0717165276029,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.648761266388,4.23924125409,0.0,3.79981411527,0.0,0.0744421244872,0.0744421244872,0.0744421244872,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.51546989729,4.28725751231,0.0,4.00144215454,0.0,0.0783922176085,0.0783922176085,0.0783922176085,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.461302456102,4.38658065677,0.0,4.16781860768,0.0,0.0816516972201,0.0816516972201,0.0816516972201,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.443229211747,4.33063162361,0.0,4.13492131272,0.0,0.0810072066077,0.0810072066077,0.0810072066077,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.439074128573,4.39385483049,0.0,4.19233541611,0.0,0.0821320057957,0.0821320057957,0.0821320057957,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.430522648955,4.53698650219,0.0,4.27602466027,0.0,0.0837715610326,0.0837715610326,0.0837715610326,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.463167729747,4.73547090543,0.0,4.22617836031,0.0,0.0827950226142,0.0827950226142,0.0827950226142,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.553033251639,5.0534714209,0.0,4.06808957673,0.0,0.0796979066631,0.0796979066631,0.0796979066631,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.682537485223,5.76837489366,0.0,4.64360300488,0.0,0.0909727851079,0.0909727851079,0.0909727851079,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.600324572346,5.1406278667,0.0,4.07463750363,0.0,0.0798261870407,0.0798261870407,0.0798261870407,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.484764997518,4.76571731357,0.0,3.81175432708,0.0,0.0746760450704,0.0746760450704,0.0746760450704,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.473785651063,4.57108024364,0.0,3.74274455211,0.0,0.0733240751837,0.0733240751837,0.0733240751837,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.46873995955,4.26107706682,0.0,3.51347808582,0.0,0.0688325178847,0.0688325178847,0.0688325178847,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.454827300077,3.65229180598,0.0,2.96451696108,0.0,0.0580778253795,0.0580778253795,0.0580778253795,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.457674768082,3.34870075053,0.0,2.72741657766,0.0,0.0534327938797,0.0534327938797,0.0534327938797,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.468609444485,3.05063655857,0.0,2.47245237984,0.0,0.0484377925511,0.0484377925511,0.0484377925511,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.506694715883,3.29767798555,0.0,2.68185977186,0.0,0.052540290903,0.052540290903,0.052540290903,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.62781636457,3.60550426806,0.0,2.85501337428,0.0,0.0559325415857,0.0559325415857,0.0559325415857,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.8606181895,5.27912919041,0.0,4.27865964372,0.0,0.08382318297,0.08382318297,0.08382318297,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.02365782824,4.25977820443,0.0,3.22334958878,0.0,0.0631486130832,0.0631486130832,0.0631486130832,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.01881473791,4.00336686532,0.0,3.07388314058,0.0,0.060220417228,0.060220417228,0.060220417228,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.97665277483,3.96212618388,0.0,3.14489553612,0.0,0.0616116204365,0.0616116204365,0.0616116204365,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.90980833478,4.04085334598,0.0,3.32060557514,0.0,0.0650539542458,0.0650539542458,0.0650539542458,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.771934341234,4.15706078851,0.0,3.57482340321,0.0,0.0700343334513,0.0700343334513,0.0700343334513,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.651142348243,4.36129908069,0.0,3.92135374765,0.0,0.0768232063426,0.0768232063426,0.0768232063426,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.522695649773,4.65632769682,0.0,4.37027252397,0.0,0.085617970091,0.085617970091,0.085617970091,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.47406339297,5.03806256238,0.0,4.81918620858,0.0,0.0944126340877,0.0944126340877,0.0944126340877,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.460175821566,5.1957362441,0.0,4.99994185909,0.0,0.0979538164268,0.0979538164268,0.0979538164268,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.457958776726,5.35789626063,0.0,5.15628093903,0.0,0.101016653949,0.101016653949,0.101016653949,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.452178641863,5.6425897821,0.0,5.38143034424,0.0,0.105427553941,0.105427553941,0.105427553941,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.488625994342,6.03561314457,0.0,5.52566670544,0.0,0.108253287209,0.108253287209,0.108253287209,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.601136228417,7.51033573273,0.0,6.5234516638,0.0,0.127800883441,0.127800883441,0.127800883441,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.723981941477,7.88555889939,0.0,6.75908843681,0.0,0.132417241362,0.132417241362,0.132417241362,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.634019370788,6.86212035705,0.0,5.79455041064,0.0,0.113520985483,0.113520985483,0.113520985483,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.50982992002,6.0464923534,0.0,5.09116496958,0.0,0.0997409675718,0.0997409675718,0.0997409675718,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.496168250933,5.714721699,0.0,4.88523906729,0.0,0.0957066750543,0.0957066750543,0.0957066750543,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.495742978884,5.6403794468,0.0,4.89181669085,0.0,0.0958355372188,0.0958355372188,0.0958355372188,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.496032516809,5.75638693076,0.0,5.06779068197,0.0,0.0992830421115,0.0992830421115,0.0992830421115,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.504553273431,5.74229413843,0.0,5.12027690442,0.0,0.100311299228,0.100311299228,0.100311299228,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.523436760477,5.84989196654,0.0,5.27105076272,0.0,0.103265108543,0.103265108543,0.103265108543,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.564197151234,6.23350030257,0.0,5.6170065992,0.0,0.110042726254,0.110042726254,0.110042726254,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.691929607078,6.87887648868,0.0,6.12760138188,0.0,0.120045784094,0.120045784094,0.120045784094,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.943228058118,9.49687412226,0.0,8.49538702751,0.0,0.166433051587,0.166433051587,0.166433051587,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,1.09960181968,8.13746119746,0.0,7.09982480551,0.0,0.139092604526,0.139092604526,0.139092604526,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,1.09261936017,7.77186380681,0.0,6.84115667542,0.0,0.134025039494,0.134025039494,0.134025039494,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,1.05047812652,7.73156680601,0.0,6.91322718085,0.0,0.135436972124,0.135436972124,0.135436972124,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.983866733545,7.82205187664,0.0,7.10083284458,0.0,0.139112353011,0.139112353011,0.139112353011,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.845251091908,7.90018541016,0.0,7.31719408401,0.0,0.143351084125,0.143351084125,0.143351084125,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.721365066615,7.94624690766,0.0,7.50579304621,0.0,0.147045924714,0.147045924714,0.147045924714,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.590437312961,8.11435959362,0.0,7.82806916461,0.0,0.153359633279,0.153359633279,0.153359633279,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.536708590165,8.23582783337,0.0,8.01683950227,0.0,0.157057831283,0.157057831283,0.157057831283,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.523630954803,8.43481420998,0.0,8.2389374227,0.0,0.161408949664,0.161408949664,0.161408949664,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.52022131017,8.53611097519,0.0,8.33440159398,0.0,0.163279187393,0.163279187393,0.163279187393,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.511809791341,8.68658820173,0.0,8.42523497847,0.0,0.165058703419,0.165058703419,0.165058703419,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.549245935952,9.13053082926,0.0,8.61994311659,0.0,0.168873228819,0.168873228819,0.168873228819,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.63960678411,9.47549496998,0.0,8.48713770249,0.0,0.166271439134,0.166271439134,0.166271439134,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.753397876515,9.38872784357,0.0,8.26059159705,0.0,0.1618331764,0.1618331764,0.1618331764,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.672288614094,8.81707972414,0.0,7.74796068601,0.0,0.151790228788,0.151790228788,0.151790228788,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.550600356568,8.12891107554,0.0,7.17224582732,0.0,0.14051140412,0.14051140412,0.14051140412,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.530773624703,7.48223868622,0.0,6.65163126283,0.0,0.130312048824,0.130312048824,0.130312048824,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.524029026068,7.08515396398,0.0,6.3356460025,0.0,0.124121584403,0.124121584403,0.124121584403,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.511027177509,6.52257794874,0.0,5.83317619151,0.0,0.114277702812,0.114277702812,0.114277702812,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.510828239802,6.06331160136,0.0,5.44057547131,0.0,0.106586265599,0.106586265599,0.106586265599,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.527828420718,6.07470364207,0.0,5.4952180966,0.0,0.107656768784,0.107656768784,0.107656768784,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.567688883865,6.41239429892,0.0,5.79523814523,0.0,0.113534458885,0.113534458885,0.113534458885,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.69473806704,7.02300022845,0.0,6.27095604673,0.0,0.122854244056,0.122854244056,0.122854244056,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.950348099649,9.86130650143,0.0,8.8588215009,0.0,0.173553093118,0.173553093118,0.173553093118,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,1.10286462786,8.30519201526,0.0,7.26637116136,0.0,0.1423554127,0.1423554127,0.1423554127,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,1.09374401831,7.83047050081,0.0,6.89856357885,0.0,0.135149697627,0.135149697627,0.135149697627,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,1.04785686546,7.59885506771,0.0,6.77942787235,0.0,0.132815711062,0.132815711062,0.132815711062,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.979800815668,7.61546420608,0.0,6.89329266156,0.0,0.135046435134,0.135046435134,0.135046435134,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.840582935481,7.6626440281,0.0,7.07891331482,0.0,0.138682927698,0.138682927698,0.138682927698,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.716304667847,7.68844328346,0.0,7.24749070999,0.0,0.141985525946,0.141985525946,0.141985525946,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.585206818569,7.84760554606,0.0,7.5610844895,0.0,0.148129138887,0.148129138887,0.148129138887,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.53197082072,7.99410349915,0.0,7.77500541523,0.0,0.152320061838,0.152320061838,0.152320061838,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.518312882072,8.16344007649,0.0,7.96748241026,0.0,0.156090876933,0.156090876933,0.156090876933,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.517233621815,8.38370020313,0.0,8.18189841838,0.0,0.160291499038,0.160291499038,0.160291499038,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.508914393049,8.53898586321,0.0,8.27744264481,0.0,0.162163305127,0.162163305127,0.162163305127,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.541319538289,8.72656529742,0.0,8.2153491057,0.0,0.160946831155,0.160946831155,0.160946831155,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.633564076631,9.16849557745,0.0,8.17869452822,0.0,0.160228731654,0.160228731654,0.160228731654,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.749719357146,9.20259448282,0.0,8.07282573304,0.0,0.158154657031,0.158154657031,0.158154657031,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.669361270024,8.66917489585,0.0,7.59853771624,0.0,0.148862884718,0.148862884718,0.148862884718,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.544391588322,7.81330273592,0.0,6.85532626896,0.0,0.134302635875,0.134302635875,0.134302635875,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.52280375754,7.0765280396,0.0,6.24481840051,0.0,0.122342181662,0.122342181662,0.122342181662,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.511496051844,6.44634875818,0.0,5.69591449709,0.0,0.111588610179,0.111588610179,0.111588610179,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/06  13:00:00,0.500191831145,5.97028936304,0.0,5.28009818172,0.0,0.103442356448,0.103442356448,0.103442356448,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/06  14:00:00,0.50094986479,5.55978567522,0.0,4.93634498265,0.0,0.096707890587,0.096707890587,0.096707890587,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/06  15:00:00,0.518141056673,5.58085456031,0.0,5.0007375469,0.0,0.0979694047396,0.0979694047396,0.0979694047396,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/06  16:00:00,0.558703024105,5.95437045747,0.0,5.33656508897,0.0,0.104548599125,0.104548599125,0.104548599125,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/06  17:00:00,0.684912219403,6.52220464938,0.0,5.76940675857,0.0,0.113028396419,0.113028396419,0.113028396419,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/06  18:00:00,0.940862429984,9.37809917431,0.0,8.3746362129,0.0,0.164067423454,0.164067423454,0.164067423454,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/06  19:00:00,1.09266042379,7.78549074342,0.0,6.74550909681,0.0,0.132151208633,0.132151208633,0.132151208633,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/06  20:00:00,1.08596882805,7.43477051997,0.0,6.50168777893,0.0,0.127374507366,0.127374507366,0.127374507366,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/06  21:00:00,1.0442995762,7.41834309896,0.0,6.59785006265,0.0,0.12925842181,0.12925842181,0.12925842181,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/06  22:00:00,0.975644703586,7.40425364338,0.0,6.68114861726,0.0,0.130890323052,0.130890323052,0.130890323052,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/06  23:00:00,0.836039528799,7.43145558307,0.0,6.84700025534,0.0,0.134139521016,0.134139521016,0.134139521016,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/06  24:00:00,0.712525928119,7.49605053246,0.0,7.05460921106,0.0,0.138206786218,0.138206786218,0.138206786218,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/07  01:00:00,0.580051747451,7.57941548026,0.0,7.28118492453,0.0,0.142645629003,0.142645629003,0.142645629003,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/07  02:00:00,0.526018743833,7.68583839864,0.0,7.46097815773,0.0,0.146167956633,0.146167956633,0.146167956633,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/07  03:00:00,0.513504854564,7.91646285808,0.0,7.71596480885,0.0,0.151163397844,0.151163397844,0.151163397844,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/07  04:00:00,0.510674900443,8.04880613298,0.0,7.84201494722,0.0,0.153632844982,0.153632844982,0.153632844982,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
